Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000773317767015506,-0.000114531181035347,-0.00317692371280239,0,0,0,0.202861353375854,0.000288055973269891,-1.30741671371134E-07,1.23053449675078E-07,0.000536268984258025,3.09222277595825E-08,0.000823461008906858,0,0,0,0,0,0,package://urdfmobbot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdfmobbot/meshes/base_link.STL,,Baselink-1;Castor Wheel Assembly-3/Castor Plate-1;Castor Wheel Assembly-4/Castor Plate-1;Castor Wheel Assembly-2/Castor Plate-1;Castor Wheel Assembly-1/Castor Plate-1,Baselink CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
linkfrontleft,-0.0048677720729928,1.00390112889315E-10,-0.00919906935736476,0,0,0,0.0145542102257425,1.09550256894123E-06,-4.99025634574917E-15,-1.38605292642386E-07,8.15088209063035E-07,-1.43312156169351E-13,1.39418606238892E-06,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontleft.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontleft.STL,,Castor Wheel Assembly-1/Wheel Holder-1;Castor Wheel Assembly-1/Wheel Pin-1,FL CS,FL,frontleftjoint,continuous,-0.082648,-0.059083,-0.00675,0,0,3.1416,base_link,0,0,-1,1,1,,,,,,,,,,
linkfrontleftwheel,0,-3.46944695195361E-18,-1.38777878078145E-17,0,0,0,0.00860106805645203,5.60947696052157E-07,9.50162228653394E-24,-7.7223000552084E-23,5.60947696052157E-07,3.500872934864E-25,8.70566474812719E-07,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontleftwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontleftwheel.STL,,Castor Wheel Assembly-1/Castor Wheel-1,FLW CS,FLW,frontleftwheeljoint,continuous,-0.0115,-5E-05,-0.01975,1.5708,0,0,linkfrontleft,0,0,-1,1,1,,,,,,,,,,
linkfrontright,0.00486777207299277,-1.0039017533936E-10,-0.00919906935736476,0,0,0,0.0145542102257424,1.09550256894122E-06,-4.99025782368981E-15,1.38605292642383E-07,8.15088209063027E-07,1.4331215764902E-13,1.39418606238891E-06,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontright.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontright.STL,,Castor Wheel Assembly-2/Wheel Holder-1;Castor Wheel Assembly-2/Wheel Pin-1,FR CS,FR,frontrightjoint,continuous,-0.082648,0.058917,-0.00675,0,0,0,base_link,0,0,-1,1,1,,,,,,,,,,
linkfrontrightwheel,0,0,0,0,0,0,0.00860106805645204,5.60947696052158E-07,-3.53597693973163E-23,7.43612262403867E-23,8.70566474812721E-07,-4.14001923954543E-24,5.60947696052158E-07,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontrightwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkfrontrightwheel.STL,,Castor Wheel Assembly-2/Castor Wheel-1,FRW CS,FRW,frontrightwheeljoint,continuous,0.0115,5E-05,-0.01975,0,0,3.1416,linkfrontright,0,1,0,1,1,,,,,,,,,,
linkrearleft,-0.00486777207299281,1.00390057378164E-10,-0.00919906935736476,0,0,0,0.0145542102257424,1.09550256894122E-06,-4.99026194646806E-15,-1.38605292642384E-07,8.15088209063028E-07,-1.43312160218769E-13,1.39418606238891E-06,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearleft.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearleft.STL,,Castor Wheel Assembly-3/Wheel Holder-1;Castor Wheel Assembly-3/Wheel Pin-1,RL CS,RL,rearleftjoint,continuous,0.081352,-0.059083,-0.00675,0,0,3.1416,base_link,0,0,-1,1,1,,,,,,,,,,
linkrearleftwheel,-1.38777878078145E-17,1.38777878078145E-17,0,0,0,0,0.00860106805645203,5.60947696052157E-07,-5.32150628315138E-23,3.92273393370754E-23,8.70566474812719E-07,-8.89159863609013E-24,5.60947696052157E-07,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearleftwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearleftwheel.STL,,Castor Wheel Assembly-3/Castor Wheel-1,RLW CS,RLW,rearleftwheeljoint,continuous,-0.0115,-5E-05,-0.01975,0,0,0,linkrearleft,0,1,0,1,1,,,,,,,,,,
linkrearright,-0.00486777207299283,1.00390126767103E-10,-0.00919906935736477,0,0,0,0.0145542102257425,1.09550256894122E-06,-4.99025241353307E-15,-1.38605292642387E-07,8.15088209063038E-07,-1.43312152558793E-13,1.39418606238892E-06,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearright.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearright.STL,,Castor Wheel Assembly-4/Wheel Holder-1;Castor Wheel Assembly-4/Wheel Pin-1,RR CS,RR,rearrightjoint,continuous,0.081352,0.058917,-0.00675,0,0,3.1416,base_link,0,0,-1,1,1,,,,,,,,,,
linkrearrightwheel,1.38777878078145E-17,6.93889390390723E-18,3.46944695195361E-18,0,0,0,0.00860106805645204,5.60947696052157E-07,-7.00820505565363E-23,4.04732553623973E-23,8.7056647481272E-07,4.32566611903724E-24,5.60947696052157E-07,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearrightwheel.STL,1,1,1,1,0,0,0,0,0,0,package://urdfmobbot/meshes/linkrearrightwheel.STL,,Castor Wheel Assembly-4/Castor Wheel-1,RRW CS,RRW,rearrightwheeljoint,continuous,-0.0115,-5E-05,-0.01975,0,0,0,linkrearright,0,1,0,1,1,,,,,,,,,,
